mom_cohort,mom_tag,pup_cohort,pup_tag
RW(1),378,BB(3),81
BB(2),264,LB(2),82
LB(2),248,YO(1),82
OB(2),287,OO(3),82
OO(2),21,GW(2),82
RR(2),450,FB(1),82
BP(1),55,LB(2),83
GR(2),167,GG(2),83
OO(2),274,GW(2),83
RW(1),452,BB(3),83
BP(1),396,OB(2),84
GG(1),94,GR(2),84
LB(2),78,GG(2),84
WB(2),32,BB(3),84
YO(1),287,WW(2),84
OB(2),496,YO(1),85
PG(1),407,GG(2),85
WW(1),78,GR(2),85
YY(2),448,FB(1),85
PO(1),252,GW(2),86
PP(2),282,OB(2),86
WW(2),357,YY(3),86
YO(1),264,GG(2),86
YY(2),242,LB(2),86
PP(2),374,FB(1),87
RW(1),308,OO(3),87
WB(1),378,GW(2),87
OB(2),67,GG(2),88
OB(2),287,WB(2),88
PO(1),162,FB(1),88
RW(1),224,YY(3),88
FB(1),434,WB(2),89
RR(2),435,PG(1),89
RR(2),478,RW(1),89
RR(2),478,YO(1),89
WW(1),311,GW(2),89
YO(1),8,OO(3),89
GR(2),90,BB(3),90
GW(2),486,PG(1),90
LB(2),67,WB(2),90
LB(2),309,RW(1),90
OB(1),159,OB(2),90
LB(2),233,WB(2),91
LB(2),246,RW(1),91
OB(2),67,WW(2),91
YY(2),137,FB(1),91
GR(1),123,FB(1),92
GW(2),160,WB(2),92
LB(2),233,GG(2),92
PG(1),29,GG(2),93
YY(2),323,FB(1),93
BB(2),245,OB(2),94
BP(1),81,GW(2),94
GR(2),90,WW(2),94
PG(1),32,GG(2),94
PP(2),42,YO(1),94
PP(2),452,PG(1),94
RR(2),127,FB(1),94
FB(1),464,PG(1),95
YO(1),51,WW(2),95
YY(2),40,FB(1),95
PP(2),265,FB(1),96
PP(2),342,OB(2),96
WW(1),78,PG(1),96
OB(1),159,GW(2),97
FB(1),293,WB(2),98
GW(2),83,GR(2),98
PG(1),153,BB(3),98
WB(1),258,OB(2),98
WR(1),93,LB(2),98
RW(1),58,YY(3),99
GW(2),486,YO(1),100
OB(2),495,RW(1),100
BB(2),245,GW(2),101
FB(1),434,YO(1),101
GG(1),34,LB(2),101
GW(2),278,GG(2),101
WB(2),191,YY(3),101
FB(1),348,YO(1),102
GG(2),132,YY(3),102
LB(2),233,WW(2),102
OB(1),55,PG(1),102
OB(1),170,GW(2),102
RR(2),76,GR(2),102
YY(2),216,LB(2),102
OB(2),391,RW(1),103
OO(2),406,GW(2),103
RR(2),468,PG(1),103
YY(2),87,YO(1),103
GG(2),208,BB(3),104
GR(2),432,OO(3),104
RR(2),15,FB(1),104
GR(2),173,WW(2),105
GR(2),272,WB(2),105
PP(2),432,RW(1),105
WB(2),80,OO(3),105
YY(2),218,OB(2),105
BB(2),97,YO(1),106
GR(1),444,GR(2),106
LB(2),25,WB(2),106
PG(1),311,YY(3),106
RW(1),468,BB(3),106
GW(2),431,PG(1),107
RR(2),274,LB(2),107
RR(2),478,GG(2),107
YY(2),480,FB(1),107
GR(2),286,GG(2),108
OO(2),267,LB(2),108
PG(1),54,WW(2),109
FB(1),536,WB(2),110
GR(2),419,WW(2),110
LB(2),67,PG(1),110
RR(2),364,GR(2),110
BP(1),358,GR(2),111
GR(2),355,GG(2),111
WW(1),78,WW(2),111
OO(2),406,YO(1),112
RW(1),149,BB(3),112
YY(2),186,LB(2),112
BB(2),409,FB(1),113
LB(2),117,YO(1),113
PO(1),224,GR(2),113
