mom_cohort,mom_tag,pup_cohort,pup_tag
OB(2),195,WW(2),481
RR(2),275,OB(2),481
YY(2),264,LB(2),481
OB(2),198,WB(2),482
BP(1),340,GW(2),483
GR(2),306,WB(2),483
LB(2),422,PG(1),483
RR(2),252,YO(1),483
GG(1),335,PG(1),484
RR(2),210,FB(1),484
FB(1),402,RW(1),485
PG(1),425,GG(2),485
PP(2),432,OO(3),485
OB(2),195,GG(2),486
YO(1),313,OO(3),487
PP(2),67,OB(2),488
GG(2),450,YY(3),489
LB(2),246,PG(1),489
PG(1),414,BB(3),489
PP(2),77,OO(3),489
LB(2),44,YY(3),490
PP(2),301,OB(2),490
YY(2),463,GR(2),490
GW(2),245,PG(1),491
WW(1),362,FB(1),491
YO(1),73,WW(2),492
GW(2),383,YO(1),493
OB(2),391,WB(2),494
OB(2),495,OO(3),494
GG(2),272,YY(3),495
OB(2),274,YO(1),495
RR(2),468,OB(2),495
YO(1),185,OO(3),495
FB(1),537,PG(1),496
GW(2),431,YO(1),496
YO(1),51,OO(3),496
LB(2),67,OO(3),497
FB(1),405,YO(1),498
GW(2),93,WB(2),498
RR(2),210,OB(2),498
RR(2),435,FB(1),498
RW(1),312,OO(3),499
PP(2),118,GR(2),501
YY(2),353,FB(1),501
PG(1),133,OO(3),502
LB(2),246,OO(3),503
OO(2),242,OB(2),503
PG(1),317,GG(2),503
RR(2),435,WB(2),503
WB(2),157,WW(2),503
YY(2),189,YO(1),503
GW(2),278,YO(1),504
PP(2),186,GG(2),504
RW(1),469,BB(3),504
WB(2),235,WW(2),504
LB(2),463,WB(2),505
RW(1),406,BB(3),505
GW(2),418,BB(3),506
YO(1),64,OO(3),506
PP(2),67,GG(2),507
WW(2),581,YY(3),507
RR(2),405,OO(3),509
RW(1),280,YY(3),512
OB(2),332,OO(3),513
OB(2),517,GG(2),513
PG(1),414,YY(3),514
WB(2),499,OO(3),514
YY(2),353,GR(2),514
RW(1),465,YY(3),515
GW(2),227,GR(2),516
PP(2),67,WB(2),516
WB(2),312,BB(3),518
OB(2),468,YY(3),520
GW(2),227,OB(2),524
WB(2),421,BB(3),526
GR(2),508,WB(2),529
LB(2),343,GG(2),529
GR(2),491,WB(2),533
OB(2),206,OO(3),533
WB(2),407,OO(3),534
LB(2),246,GG(2),535
WB(2),183,BB(3),535
PP(2),432,GG(2),537
GR(2),455,RW(1),538
PG(1),36,GG(2),538
FB(1),303,WB(2),539
OB(2),495,GG(2),541
RW(1),55,BB(3),541
GR(2),413,RW(1),542
PG(1),379,BB(3),542
OB(2),488,YY(3),543
OB(2),391,GG(2),544
OB(2),496,GG(2),546
FB(1),99,BB(3),547
GG(2),5,YY(3),548
GR(2),419,OO(3),548
GR(2),508,GG(2),548
LB(2),233,OO(3),550
OB(2),332,YY(3),550
RW(1),392,YY(3),551
WB(2),157,OO(3),551
FB(1),26,OO(3),552
GR(2),508,RW(1),553
OB(2),436,OO(3),557
GR(2),201,RW(1),559
RW(1),432,YY(3),563
GW(2),93,YY(3),564
RW(1),95,YY(3),568
GG(2),382,YY(3),569
GW(2),278,OO(3),569
OB(2),496,BB(3),569
GW(2),93,OO(3),571
OB(2),496,OO(3),574
RW(1),467,YY(3),574
GG(2),510,BB(3),576
GR(2),432,YY(3),580
PG(1),348,YY(3),583
RW(1),432,OO(3),587
GG(2),506,YY(3),591
OB(2),468,OO(3),591
WB(2),166,YY(3),600
GW(2),93,BB(3),606
OB(2),517,BB(3),611
WB(2),157,YY(3),614
GR(2),173,YY(3),620
FB(1),26,BB(3),625
RW(1),538,YY(3),641
WB(2),524,YY(3),643
YO(1),107,YY(3),644
OB(2),517,YY(3),806
GG(2),328,YY(3),809
GR(2),286,YY(3),817
LB(2),246,YY(3),821
RW(1),259,YY(3),822
OB(2),496,YY(3),828
RW(1),182,YY(3),829
RW(1),103,YY(3),830
FB(1),26,YY(3),845
RW(1),559,YY(3),853
